Sample,Source,Acclimation,Type,CW,Sex,TtR_ave,TtR_sd,Source_ave_sal,Accl_sal,Sex_binary
P00_01,Fresh,Fresh,No_switch,13.63,M,66.6933333333333,50.2713689224128,0,0,0
P00_02,Fresh,Fresh,No_switch,9.55,M,30.71,19.6588173601567,0,0,0
P00_07,Fresh,Fresh,No_switch,8.42,F,22.06,5.18002895744802,0,0,1
P00_08,Fresh,Fresh,No_switch,12.29,F,3.75,2.07545175805173,0,0,1
P0L_07,Fresh,Low,Low_high,11.94,F,110.733333333333,16.0503374834716,0,3,1
P0L_08,Fresh,Low,Low_high,10.02,F,27.4533333333333,21.3214289702481,0,3,1
P0L_09,Fresh,Low,Low_high,11.02,F,10.68,4.1159203102101,0,3,1
P0L_10,Fresh,Low,Low_high,7.21,F,2.02666666666667,0.754077803236067,0,3,1
P0M_01,Fresh,Moderate,Low_high,14.06,F,7.93333333333333,1.54454955677483,0,15,1
P0M_02,Fresh,Moderate,Low_high,10.28,M,2.92666666666667,2.34828306073466,0,15,0
P0M_05,Fresh,Moderate,Low_high,7.23,M,0.78,0.185202591774521,0,15,0
P0M_06,Fresh,Moderate,Low_high,9.62,M,63.21,50.2352794358706,0,15,0
P0M_07,Fresh,Moderate,Low_high,14.29,F,3.64333333333333,0.589434757486639,0,15,1
P0M_08,Fresh,Moderate,Low_high,9.27,F,15.4166666666667,5.50258424136635,0,15,1
P0M_09,Fresh,Moderate,Low_high,10.24,M,3.54666666666667,1.24065842734144,0,15,0
P0M_10,Fresh,Moderate,Low_high,9.95,F,5.91666666666667,3.45271390841079,0,15,1
PLL_02,Low,Low,No_switch,14.14,F,15.26,5.50983665819596,5,3,1
PLL_03,Low,Low,No_switch,12.58,F,4.23666666666667,2.39936102605117,5,3,1
PLL_04,Low,Low,No_switch,9.86,F,8.46666666666667,2.09719654141745,5,3,1
PLL_05,Low,Low,No_switch,10.44,M,3.32666666666667,3.21255868947687,5,3,0
PLL_06,Low,Low,No_switch,13.03,F,1.99,0.773110600108419,5,3,1
PLL_07,Low,Low,No_switch,10.93,M,1.50666666666667,0.575007246331151,5,3,0
PLL_08,Low,Low,No_switch,8.89,M,1.97333333333333,0.83644087258654,5,3,0
PLL_09,Low,Low,No_switch,9.33,F,3.48,1.09530817581172,5,3,1
PLL_10,Low,Low,No_switch,12.64,M,8.03333333333333,11.5167370957808,5,3,0
PLM_01,Low,Moderate,Low_high,8.96,M,0.773333333333333,0.090184995056458,5,15,0
PLM_02,Low,Moderate,Low_high,11.36,M,3.71,2.13150181796779,5,15,0
PLM_03,Low,Moderate,Low_high,8.87,F,3.72,4.45682622501708,5,15,1
PLM_04,Low,Moderate,Low_high,9.66,F,2.95666666666667,2.86875118010143,5,15,1
PLM_05,Low,Moderate,Low_high,9.25,M,5.21333333333333,3.41520619192068,5,15,0
PLM_06,Low,Moderate,Low_high,9.35,F,2.43,1.92841904159858,5,15,1
PLM_08,Low,Moderate,Low_high,13.62,M,7.88333333333333,1.80181390086028,5,15,0
PLM_09,Low,Moderate,Low_high,11.11,F,24.2466666666667,8.19548859637626,5,15,1
PML_02,Moderate,Low,High_low,9.93,M,3.50666666666667,2.31201931941179,11,3,0
PML_03,Moderate,Low,High_low,13.8,M,2.13333333333333,0.792233130671353,11,3,0
PML_05,Moderate,Low,High_low,9.96,F,3.96666666666667,2.9625045710232,11,3,1
PML_07,Moderate,Low,High_low,11.44,F,7.00333333333333,5.55021921488993,11,3,1
PML_08,Moderate,Low,High_low,10.66,F,1.01,0.268514431641951,11,3,1
PMM_01,Moderate,Moderate,No_switch,10.25,F,0.646666666666667,0.136137185711081,11,15,1
PMM_02,Moderate,Moderate,No_switch,8.9,M,1.68666666666667,1.26460797614649,11,15,0
PMM_03,Moderate,Moderate,No_switch,8.79,F,1.00333333333333,0.789071183945614,11,15,1
PMM_04,Moderate,Moderate,No_switch,9.81,F,3.14,1.34814687627128,11,15,1
PMM_07,Moderate,Moderate,No_switch,8.93,M,2.17333333333333,0.530502906055503,11,15,0
PMM_08,Moderate,Moderate,No_switch,11.88,F,27.84,22.9092579539364,11,15,1
PMM_09,Moderate,Moderate,No_switch,9.89,M,2.51666666666667,2.9411109012299,11,15,0
PMM_10,Moderate,Moderate,No_switch,8.98,F,8.04,3.03763065562619,11,15,1
